   (353) Ruperto-Carola      1893 F      1893 01 16  Heidelberg               Wolf, M. F.
   (354) Eleonora            1893 A      1893 01 17  Nice                     Charlois, A.
   (355) Gabriella           1893 E      1893 01 20  Nice                     Charlois, A.
   (356) Liguria             1893 G      1893 01 21  Nice                     Charlois, A.
   (357) Ninina              1893 J      1893 02 11  Nice                     Charlois, A.
   (358) Apollonia           1893 K      1893 03 08  Nice                     Charlois, A.
   (359) Georgia             1893 M      1893 03 10  Nice                     Charlois, A.
   (360) Carlova             1893 N      1893 03 11  Nice                     Charlois, A.
   (361) Bononia             1893 P      1893 03 11  Nice                     Charlois, A.
   (362) Havnia              1893 R      1893 03 12  Nice                     Charlois, A.
   (363) Padua               1893 S      1893 03 17  Nice                     Charlois, A.
   (364) Isara               1893 T      1893 03 19  Nice                     Charlois, A.
   (365) Corduba             1893 V      1893 03 21  Nice                     Charlois, A.
   (366) Vincentina          1893 W      1893 03 21  Nice                     Charlois, A.
   (367) Amicitia            1893 AA     1893 05 19  Nice                     Charlois, A.
   (368) Haidea              1893 AB     1893 05 19  Nice                     Charlois, A.
   (369) Aëria               1893 AE     1893 07 04  Marseilles               Borrelly, A.
   (370) Modestia            1893 AC     1893 07 14  Nice                     Charlois, A.
   (371) Bohemia             1893 AD     1893 07 16  Nice                     Charlois, A.
   (372) Palma               1893 AH     1893 08 19  Nice                     Charlois, A.
   (373) Melusina            1893 AJ     1893 09 15  Nice                     Charlois, A.
   (374) Burgundia           1893 AK     1893 09 18  Nice                     Charlois, A.
   (375) Ursula              1893 AL     1893 09 18  Nice                     Charlois, A.
   (376) Geometria           1893 AM     1893 09 18  Nice                     Charlois, A.
   (377) Campania            1893 AN     1893 09 20  Nice                     Charlois, A.
   (378) Holmia              1893 AP     1893 12 06  Nice                     Charlois, A.
   (379) Huenna              1894 AQ     1894 01 08  Nice                     Charlois, A.
   (380) Fiducia             1894 AR     1894 01 08  Nice                     Charlois, A.
   (381) Myrrha              1894 AS     1894 01 10  Nice                     Charlois, A.
   (382) Dodona              1894 AT     1894 01 29  Nice                     Charlois, A.
   (383) Janina              1894 AU     1894 01 29  Nice                     Charlois, A.
   (384) Burdigala           1894 AV     1894 02 11  Bordeaux                 Courty, F.
   (385) Ilmatar             1894 AX     1894 03 01  Heidelberg               Wolf, M. F.
   (386) Siegena             1894 AY     1894 03 01  Heidelberg               Wolf, M. F.
   (387) Aquitania           1894 AZ     1894 03 05  Bordeaux                 Courty, F.
   (388) Charybdis           1894 BA     1894 03 07  Nice                     Charlois, A.
   (389) Industria           1894 BB     1894 03 08  Nice                     Charlois, A.
   (390) Alma                1894 BC     1894 03 24  Paris                    Bigourdan, G.
   (391) Ingeborg            1894 BE     1894 11 01  Heidelberg               Wolf, M. F.
   (392) Wilhelmina          1894 BF     1894 11 04  Heidelberg               Wolf, M. F.
   (393) Lampetia            1894 BG     1894 11 04  Heidelberg               Wolf, M. F.
   (394) Arduina             1894 BH     1894 11 19  Marseilles               Borrelly, A.
   (395) Delia               1894 BK     1894 11 30  Nice                     Charlois, A.
   (396) Aeolia              1894 BL     1894 12 01  Nice                     Charlois, A.
   (397) Vienna              1894 BM     1894 12 19  Nice                     Charlois, A.
   (398) Admete              1894 BN     1894 12 28  Nice                     Charlois, A.
   (399) Persephone          1895 BP     1895 02 23  Heidelberg               Wolf, M. F.
   (400) Ducrosa             1895 BU     1895 03 15  Nice                     Charlois, A.
   (401) Ottilia             1895 BT     1895 03 16  Heidelberg               Wolf, M. F.
   (402) Chloë               1895 BW     1895 03 21  Nice                     Charlois, A.
   (403) Cyane               1895 BX     1895 05 18  Nice                     Charlois, A.
   (404) Arsinoë             1895 BY     1895 06 20  Nice                     Charlois, A.
   (405) Thia                1895 BZ     1895 07 23  Nice                     Charlois, A.
   (406) Erna                1895 CB     1895 08 22  Nice                     Charlois, A.
   (407) Arachne             1895 CC     1895 10 13  Heidelberg               Wolf, M. F.
   (408) Fama                1895 CD     1895 10 13  Heidelberg               Wolf, M. F.
   (409) Aspasia             1895 CE     1895 12 09  Nice                     Charlois, A.
   (410) Chloris             1896 CH     1896 01 07  Nice                     Charlois, A.
   (411) Xanthe              1896 CJ     1896 01 07  Nice                     Charlois, A.
   (412) Elisabetha          1896 CK     1896 01 07  Heidelberg               Wolf, M. F.
   (413) Edburga             1896 CL     1896 01 07  Heidelberg               Wolf, M. F.
   (414) Liriope             1896 CN     1896 01 16  Nice                     Charlois, A.
   (415) Palatia             1896 CO     1896 02 07  Heidelberg               Wolf, M. F.
   (416) Vaticana            1896 CS     1896 05 04  Nice                     Charlois, A.
   (417) Suevia              1896 CT     1896 05 06  Heidelberg               Wolf, M. F.
   (418) Alemannia           1896 CV     1896 09 07  Heidelberg               Wolf, M. F.
   (419) Aurelia             1896 CW     1896 09 07  Heidelberg               Wolf, M. F.
   (420) Bertholda           1896 CY     1896 09 07  Heidelberg               Wolf, M. F.
   (421) Zähringia           1896 CZ     1896 09 07  Heidelberg               Wolf, M. F.
   (422) Berolina            1896 DA     1896 10 08  Berlin                   Witt, G.
   (423) Diotima             1896 DB     1896 12 07  Nice                     Charlois, A.
